Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Vessels;Pattern;Turbines;Months
NO_No_Eq_24;12293765,000000;0,063000;94,221978;94,207349;3468969,000000;2021513,500000;1098750,000000;652750,000000;270013,500000;NO;No;Eq;24;
NO_No_Eq_36;23646624,200000;0,145000;91,428250;91,443069;4886978,933333;2364235,666667;1357500,000000;737833,333333;268902,333333;NO;No;Eq;36;
NO_No_Ha_18;9654131,000000;0,048000;93,093711;93,084759;3613279,466667;2340792,666667;1170000,000000;873000,000000;297792,666667;NO;No;Ha;18;
NO_No_Ha_24;15088195,800000;0,085000;91,232118;91,293530;4480482,600000;2508698,500000;1383750,000000;821600,000000;303348,500000;NO;No;Ha;24;
NO_No_Ha_36;23718511,600000;0,133000;94,491744;94,459734;2805004,800000;4563726,666667;2970000,000000;1282600,000000;311126,666667;NO;No;Ha;36;
NO_No_Ra_18;6894284,000000;0,041000;95,205808;95,239028;2369343,200000;1739434,666667;1080000,000000;410533,333333;248901,333333;NO;No;Ra;18;
NO_No_Ra_24;9512023,400000;0,068000;95,223357;95,254972;2467512,000000;1753128,500000;1072500,000000;443950,000000;236678,500000;NO;No;Ra;24;
NO_No_Ra_36;19358558,000000;0,148000;92,879250;92,927500;3806985,733333;2149080,000000;1280000,000000;602400,000000;266680,000000;NO;No;Ra;36;
NT_Bi_Ba_18;6177605,800000;0,045000;96,452025;96,454634;1984518,400000;1717480,666667;770000,000000;667466,666667;280014,000000;NT;Bi;Ba;18;
NT_Bi_Ba_24;11067897,400000;0,071000;95,354973;95,357005;2611606,400000;2272464,500000;930000,000000;1052450,000000;290014,500000;NT;Bi;Ba;24;
NT_Bi_Ba_36;19526654,000000;0,153000;94,003567;94,018514;3133380,800000;2753659,333333;1245000,000000;1210866,666667;297792,666667;NT;Bi;Ba;36;
NT_Bi_Eq_18;6084316,800000;0,049000;96,677899;96,673338;1849912,800000;1804457,333333;890000,000000;656666,666667;257790,666667;NT;Bi;Eq;18;
NT_Bi_Eq_24;9720985,600000;0,087000;95,451974;95,476251;2170300,400000;2244863,000000;1072500,000000;912350,000000;260013,000000;NT;Bi;Eq;24;
NT_Bi_Eq_36;19881464,600000;0,153000;93,149107;93,202331;3538483,066667;2461769,666667;1065000,000000;1114533,333333;282236,333333;NT;Bi;Eq;36;
NT_Bi_Ha_18;8675046,200000;0,050000;94,951968;94,966682;2622778,133333;2595527,333333;1065000,000000;1206066,666667;324460,666667;NT;Bi;Ha;18;
NT_Bi_Ha_24;16239580,800000;0,068000;90,895616;90,954004;4656120,800000;2578299,000000;956250,000000;1308700,000000;313349,000000;NT;Bi;Ha;24;
NT_Bi_Ha_36;22221320,400000;0,507000;92,089304;92,145197;3981827,466667;2862792,666667;1212500,000000;1352500,000000;297792,666667;NT;Bi;Ha;36;
NT_Bi_Ra_18;5800622,800000;0,041000;96,549258;96,590901;1689759,733333;1639968,000000;855000,000000;536066,666667;248901,333333;NT;Bi;Ra;18;
NT_Bi_Ra_24;7673136,000000;0,069000;96,138098;96,190712;1761096,200000;1671195,000000;851250,000000;586600,000000;233345,000000;NT;Bi;Ra;24;
