Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Turbines;Dur;Vessels;Percent;Size
Ba_2SS_NF_10_200;28884129,914808;0,069000;95,089165;95,120038;5681942,242129;8093968,571429;3750000,000000;3829657,142857;514311,428571;Ba;2SS;NF;10;200;
Ba_2SS_NF_10_80;12650573,084018;0,097000;94,777538;94,628191;2356560,828394;3924507,428571;1881428,571429;1799257,142857;243821,714286;Ba;2SS;NF;10;80;
Ba_2SS_NF_15_120;16144352,640822;0,086000;95,698996;95,706179;2930006,635273;5762893,714286;2361428,571429;3050971,428571;350493,714286;Ba;2SS;NF;15;120;
Ba_2SS_NF_15_150;20787277,656426;0,077000;96,000503;96,002208;3445339,382994;7114401,714286;3047142,857143;3652000,000000;415258,857143;Ba;2SS;NF;15;150;
Ba_2SS_NF_15_200;27112113,272436;0,063000;95,616284;95,633174;5036546,537573;8979988,000000;3882857,142857;4575200,000000;521930,857143;Ba;2SS;NF;15;200;
Ba_2SS_NF_15_80;9554335,624194;0,057000;96,267487;96,262128;1612377,670919;3615688,000000;1791428,571429;1588057,142857;236202,285714;Ba;2SS;NF;15;80;
Ba_2SS_NF_5_120;20143263,272284;0,088000;94,304048;94,326898;4217879,856720;4124225,142857;2421428,571429;1390400,000000;312396,571429;Ba;2SS;NF;5;120;
Ba_2SS_NF_5_150;25171177,491390;0,064000;93,948886;93,970848;5477373,625051;5410838,857143;3240000,000000;1774628,571429;396210,285714;Ba;2SS;NF;5;150;
Ba_2SS_NF_5_200;31546123,556718;0,038000;94,309379;94,384472;6906254,553089;6601110,857143;3737142,857143;2361085,714286;502882,285714;Ba;2SS;NF;5;200;
Ba_2SS_NF_5_80;14261737,095928;0,075000;93,433606;93,532990;3070766,944960;3136106,857143;1941428,571429;962285,714286;232392,571429;Ba;2SS;NF;5;80;
Ba_2SS_NO_0_120;19679716,221674;0,101000;93,920412;93,999384;4254662,904624;4303485,714286;2494285,714286;1428228,571429;380971,428571;Ba;2SS;NO;0;120;
Ba_2SS_NO_0_150;27343600,460920;0,079000;93,612015;93,640668;5763068,609707;5640555,428571;3402857,142857;1795771,428571;441926,857143;Ba;2SS;NO;0;150;
Ba_2SS_NO_0_200;35724382,854328;0,064000;95,179733;95,086336;5720623,733215;10937970,285714;6737142,857143;3652228,571429;548598,857143;Ba;2SS;NO;0;200;
Ba_2SS_NO_0_80;12542387,152028;0,065000;94,456268;94,544484;2569169,431951;3024967,428571;1778571,428571;945428,571429;300967,428571;Ba;2SS;NO;0;80;
Ba_2SS_NT_10_120;16068341,405706;0,059000;95,582972;95,601278;3059910,155895;4777203,428571;1902857,142857;2424800,000000;449546,285714;Ba;2SS;NT;10;120;
Ba_2SS_NT_10_150;17223562,004578;0,038000;96,200512;96,199625;3268722,223302;5351129,142857;2070000,000000;2793485,714286;487643,428571;Ba;2SS;NT;10;150;
Ba_2SS_NT_10_200;26400723,544384;0,082000;95,611079;95,667869;5139099,095843;7744848,571429;3351428,571429;3802914,285714;590505,714286;Ba;2SS;NT;10;200;
Ba_2SS_NT_10_80;11741867,371544;0,075000;95,326799;95,148038;2197864,784655;3526589,142857;1452857,142857;1719428,571429;354303,428571;Ba;2SS;NT;10;80;
Ba_2SS_NT_15_120;13647214,087746;0,040000;96,331951;96,348223;2482849,295207;5030822,857143;1710000,000000;2863657,142857;457165,714286;Ba;2SS;NT;15;120;
